2025-07-11 23:48:01,381 | INFO | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2025-07-11 23:48:01,387 | INFO | Added job "start_background_monitoring.<locals>.monitor_users" to job store "default"
2025-07-11 23:48:01,387 | INFO | Scheduler started
2025-07-11 23:48:01,389 | INFO | Bot started and polling.
2025-07-11 23:48:02,143 | INFO | HTTP Request: POST https://api.telegram.org/bot7960268313:AAHiZBou5-jdbrK4OEtE3pdGxPd3J914y70/getMe "HTTP/1.1 200 OK"
2025-07-11 23:48:02,349 | INFO | HTTP Request: POST https://api.telegram.org/bot7960268313:AAHiZBou5-jdbrK4OEtE3pdGxPd3J914y70/deleteWebhook "HTTP/1.1 200 OK"
2025-07-11 23:48:02,349 | INFO | Scheduler started
2025-07-11 23:48:02,349 | INFO | Application started
2025-07-11 23:48:11,389 | INFO | Running job "start_background_monitoring.<locals>.monitor_users (trigger: interval[0:00:10], next run at: 2025-07-11 23:48:11 IST)" (scheduled at 2025-07-11 23:48:11.381790+05:30)
2025-07-11 23:48:11,390 | INFO | Job "start_background_monitoring.<locals>.monitor_users (trigger: interval[0:00:10], next run at: 2025-07-11 23:48:21 IST)" executed successfully
2025-07-11 23:48:12,999 | INFO | HTTP Request: POST https://api.telegram.org/bot7960268313:AAHiZBou5-jdbrK4OEtE3pdGxPd3J914y70/getUpdates "HTTP/1.1 200 OK"
2025-07-11 23:48:21,392 | INFO | Running job "start_background_monitoring.<locals>.monitor_users (trigger: interval[0:00:10], next run at: 2025-07-11 23:48:31 IST)" (scheduled at 2025-07-11 23:48:21.381790+05:30)
2025-07-11 23:48:21,393 | INFO | Job "start_background_monitoring.<locals>.monitor_users (trigger: interval[0:00:10], next run at: 2025-07-11 23:48:31 IST)" executed successfully
2025-07-11 23:48:23,153 | INFO | HTTP Request: POST https://api.telegram.org/bot7960268313:AAHiZBou5-jdbrK4OEtE3pdGxPd3J914y70/getUpdates "HTTP/1.1 200 OK"
2025-07-11 23:48:31,397 | INFO | Running job "start_background_monitoring.<locals>.monitor_users (trigger: interval[0:00:10], next run at: 2025-07-11 23:48:41 IST)" (scheduled at 2025-07-11 23:48:31.381790+05:30)
